,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
77164|ZNF189,0.9993081100537324,Homo sapiens,ZNF189,other,293T,None,None,1,ZNF189
77067|ZNF662,0.9993115421549938,Homo sapiens,ZNF662,tf,293T,None,None,1,ZNF662
39918|ZC3H8,0.9993156721278789,Homo sapiens,ZC3H8,tf,HCT-116,None,Colon,1,ZC3H8
45803|GRP20,0.9993187420620795,Homo sapiens,GRP20,other,HepG2,Epithelium,Liver,1,GRP20
48799|ZNF750,0.9993679607040745,Homo sapiens,ZNF750,tf,None,Keratinocyte,Foreskin,1,ZNF750
38817|HOXA1,0.9994029382326808,Homo sapiens,HOXA1,tf,LoVo,None,Colon,1,HOXA1
63356|ZFP41,0.9994074264105917,Homo sapiens,ZFP41,,HEK293,Epithelium,Embryonic Kidney,1,ZFP41
62566|ZNF623,0.9994499805565549,Homo sapiens,ZNF623,,HEK293,Epithelium,Embryonic Kidney,1,ZNF623
45878|GTF2F1,0.9995194246189465,Homo sapiens,GTF2F1,tf,K562,Erythroblast,Bone Marrow,1,GTF2F1
69219|SLC22A2,0.9995367641882018,Homo sapiens,SLC22A2,not sure,HBL1,B cell lymphoma,None,1,SLC22A2
77149|ZNF282,0.9995374483206754,Homo sapiens,ZNF282,tf,293T,None,None,1,ZNF282
68102|CRY1,0.9995708695509542,Homo sapiens,CRY1,not sure,U2OS,None,Bone,1,CRY1
77173|ZNF141,0.9995713158045768,Homo sapiens,ZNF141,tf,293T,None,None,1,ZNF141
65180|ZNF35,0.9996056251152983,Homo sapiens,ZNF35,,HEK293,Epithelium,Embryonic Kidney,1,ZNF35
63611|ZKSCAN8,0.9996198721045435,Homo sapiens,ZKSCAN8,,K562,Erythroblast,Bone Marrow,1,ZKSCAN8
73937|ZNF610,0.9996360466172703,Homo sapiens,ZNF610,,293T,None,None,1,ZNF610
43668|DPPA2,0.9996408716938211,Homo sapiens,DPPA2,predicted chromatin regulator,HEK293T,Epithelium,Embryonic Kidney,0,DPPA2
76518|ZBTB16,0.9996697369131697,Homo sapiens,ZBTB16,tf,None,Stromal Cell,None,1,ZBTB16
45901|GTF3C2,0.9996764585559751,Homo sapiens,GTF3C2,tf,K562,Erythroblast,Bone Marrow,1,GTF3C2
49193|CSNK2A1,0.9996836858748388,Homo sapiens,CSNK2A1,other,LNCaP,Epithelium,Prostate,1,CSNK2A1
77117|ZNF445,0.9996947108426487,Homo sapiens,ZNF445,tf,293T,None,None,1,ZNF445
62580|TARDBP,0.9996954440494277,Homo sapiens,TARDBP,,K562,Erythroblast,Bone Marrow,1,TARDBP
76709|MGEA5,0.9997039847435688,Homo sapiens,MGEA5,other,BJAB,None,None,1,MGEA5
